ICML2014, , ,Priority,Conference
Dirichlet Process with Mixed Random Measures: A Nonparametric Topic Model for Labeled Data, ,[TIMESERIES],3,ICML2012
Evaluating Bayesian and L1 Approaches for  Sparse Unsupervised Learning , ,[SPARSE],2,ICML2012
Collaborative Topic Regression with Social Matrix Factorization for Recommendation Systems,[ADTECH],[REGRESSION],1,ICML2012
Clustering by Low-Rank Doubly Stochastic Matrix Decomposition, ,[CLUSTERING],3,ICML2012
Sparse Additive Functional and Kernel CCA, ,[SPARSE],3,ICML2012
Fast classification using  sparse decision DAGs, ,[SPARSE],3,ICML2012
Rethinking Collapsed Variational Bayes Inference for LDA, ,[CLUSTERING],3,ICML2012
A Simple Algorithm for Semi-supervised Learning with Improved Generalization Error Bound, ,[CLASSIFICATION],2,ICML2012
Conditional Sparse Coding and Grouped Multivariate Regression, ,[SPARSE][REGRESSION],1,ICML2012
Cross Language Text Classification via  Subspace Co-regularized Multi-view Learning ,[ADTECH],[CLASSIFICATION],1,ICML2012
Gaussian Process Quantile Regression using Expectation Propagation, ,[REGRESSION],1,ICML2012
Exponential Regret Bounds for Gaussian Process Bandits with Deterministic Observations,[BANDIT], ,3,ICML2012
Feature Selection via Probabilistic Outputs, ,[CLASSIFICATION],1,ICML2012
Quasi-Newton Methods: A New Direction, ,[REGRESSION],1,ICML2012
Information-theoretic Semi-supervised Metric Learning via Entropy Regularization, ,[CLASSIFICATION],2,ICML2012
On multi-view feature learning, ,[CLASSIFICATION],2,ICML2012
Convergence Rates of Biased Stochastic Optimization for Learning Sparse Ising Models, ,[SPARSE],3,ICML2012
Decoupling Exploration and Exploitation in Multi-Armed Bandits,[BANDIT], ,3,ICML2012
Learning to Identify Regular Expressions that Describe Email Campaigns,[ADTECH], ,3,ICML2012
Revisiting k-means: New Algorithms via Bayesian Nonparametrics, ,[CLUSTERING],1,ICML2012
Gaussian Process Regression Networks, ,[REGRESSION],1,ICML2012
Sparse-GEV: Sparse Latent Space Model for Multivariate Extreme Value Time Serie Modeling, ,[SPARSE],3,ICML2012
Factorized Asymptotic Bayesian Hidden Markov Models, ,[TIMESERIES],3,ICML2012
Semi-Supervised Learning of Class Balance under Class-Prior Change by Distribution Matching, ,[CLASSIFICATION],2,ICML2012
Semi-Supervised Collective Classification via Hybrid Label Regularization, ,[CLASSIFICATION],2,ICML2012
Shortest path distance in random k-nearest neighbor graphs, ,[CLASSIFICATION],2,ICML2012
A Split-Merge Framework for Comparing Clusterings, ,[CLUSTERING],1,ICML2012
An Efficient Approach to Sparse Linear Discriminant Analysis, ,[SPARSE],1,ICML2012
Canonical Trends: Detecting Trend Setters in Web Data,[ADTECH], ,3,ICML2012
A convex relaxation for weakly supervised classifiers, ,[CLASSIFICATION],3,ICML2012
Consistent Multilabel Ranking through Univariate Losses,[RANKING], ,3,ICML2012
Small-sample brain mapping: sparse recovery on spatially correlated designs with randomization and clustering, ,[SPARSE][CLUSTERING],1,ICML2012
Convergence of the EM Algorithm for Gaussian Mixtures with Unbalanced Mixing Coefficients, ,[CLUSTERING],1,ICML2012
Safe Exploration in Markov Decision Processes , ,[TIMESERIES],3,ICML2012
Learning Task Grouping and Overlap in Multi-task Learning,[ADTECH], ,1,ICML2012
Online Bandit Learning against an Adaptive Adversary: from Regret to Policy Regret,[BANDIT], ,3,ICML2012
Predicting Consumer Behavior in Commerce Search,[ADTECH], ,1,ICML2012
Robust PCA in High-dimension: A Deterministic Approach, ,[CLUSTERING],1,ICML2012
Linear Regression with Limited Observation, ,[REGRESSION],1,ICML2012
KDD2014, , , ,
Inferring user demographics and social strategies in mobile social networks.,[ADTECH], ,1,KDD2014
Travel time estimation of a path using sparse trajectories., ,[SPARSE],3,KDD2014
A cost-effective recommender system for taxi drivers.,[ADTECH], ,1,KDD2014
Clinical risk prediction with multilinear sparse logistic regression., ,[SPARSE][REGRESSION],1,KDD2014
COM: a generative model for group recommendation.,[ADTECH], ,1,KDD2014
Representative clustering of uncertain data., ,[CLUSTERING],1,KDD2014
SMVC: semi-supervised multi-view clustering in subspace projections., ,[CLUSTERING],1,KDD2014
Online multiple kernel regression., ,[REGRESSION],1,KDD2014
Incremental and decremental training for linear classification., ,[CLASSIFICATION],2,KDD2014
FBLG: a simple and effective approach for temporal dependence discovery from time series data., ,[TIMESERIES],3,KDD2014
Learning time-series shapelets., ,[TIMESERIES],3,KDD2014
Utilizing temporal patterns for estimating uncertainty in interpretable early decision making., ,[TIMESERIES],3,KDD2014
Active learning for sparse bayesian multilabel classification., ,[SPARSE][CLASSIFICATION],3,KDD2014
Large-scale adaptive semi-supervised learning via unified inductive and transductive model., ,[CLASSIFICATION],3,KDD2014
